# saved 2026-06-14T21:21:03
# range_label=12mT_linearized
# --- characterization sweep ---
# verify(linearized) step_mm=0.100 window=11.0-24.0
Distance_mm,Reading_mV,SD_mV
49.700,3150,0.00
49.800,3150,0.00
49.900,3150,0.00
50.000,3150,0.00
50.100,3150,0.00
50.200,3150,0.00
50.300,3150,0.00
50.400,3150,0.00
50.500,3150,0.00
50.600,3150,0.00
50.700,3150,0.00
50.800,3150,0.00
50.900,3150,0.00
51.000,3150,0.00
51.100,3150,0.00
51.200,3150,0.00
51.300,3150,0.00
51.400,3150,0.00
51.500,3150,0.00
51.600,3150,0.00
51.700,3150,0.00
51.800,3150,0.00
51.900,3150,0.00
52.000,3150,0.00
52.100,3150,0.00
52.200,3150,0.00
52.300,3150,0.00
52.400,3150,0.00
52.500,3150,0.00
52.600,3150,0.00
52.700,3150,0.00
52.800,3150,0.00
52.900,3150,0.00
53.000,3150,0.00
53.100,3150,0.00
53.200,3150,0.00
53.300,3150,0.00
53.400,3150,0.00
53.500,3150,0.00
53.600,3150,0.00
53.700,3150,0.00
53.800,3150,0.00
53.900,3150,0.00
54.000,3150,0.00
54.100,3150,0.00
54.200,3150,0.00
54.300,3150,0.00
54.400,3150,0.00
54.500,3150,0.00
54.600,3150,0.00
54.700,3150,0.00
54.800,3150,0.00
54.900,3150,0.00
55.000,3150,1.62
55.100,3150,0.00
55.200,3150,0.00
55.300,3150,0.00
55.400,3150,0.00
55.500,3150,0.00
55.600,3150,0.00
55.700,3150,0.00
55.800,3150,0.00
55.900,3150,0.00
56.000,3150,0.00
56.100,3150,0.00
56.200,3150,0.00
56.300,3150,0.00
56.400,3150,0.00
56.500,3150,0.00
56.600,3150,0.00
56.700,3150,0.00
56.800,3150,0.00
56.900,3150,0.00
57.000,3150,0.00
57.100,3150,0.00
57.200,3150,0.00
57.300,3150,0.00
57.400,3150,0.00
57.500,3150,0.00
57.600,3150,0.00
57.700,3150,0.00
57.800,3150,0.00
57.900,3150,0.00
58.000,3150,0.00
58.100,3150,0.00
58.200,3150,0.00
58.300,3150,0.00
58.400,3150,0.00
58.500,3150,0.00
58.600,3150,0.00
58.700,3150,0.28
58.800,3150,0.00
58.900,3150,0.00
59.000,3150,0.00
59.100,3150,0.00
59.200,3150,0.00
59.300,3150,0.00
59.400,3150,0.00
59.500,3150,0.00
59.600,3150,0.00
59.700,3150,0.00
59.800,3150,0.00
59.900,3150,0.00
60.000,3150,0.00
60.100,3150,0.00
60.200,3150,0.00
60.300,3150,1.83
60.400,3150,0.00
60.500,3150,0.00
60.600,3150,0.00
60.700,3150,0.00
60.800,3150,0.00
60.900,3150,0.00
61.000,3150,0.00
61.100,3150,0.00
61.200,3150,0.00
61.300,3150,0.00
61.400,3150,0.00
61.500,3150,0.00
61.600,3150,0.00
61.700,3150,0.00
61.800,3150,0.00
61.900,3150,0.00
62.000,3150,0.00
62.100,3150,0.00
62.200,3150,0.00
62.300,3150,0.00
62.400,3150,0.00
62.500,3150,0.00
62.600,3150,0.00
62.700,3150,0.00
62.800,3150,0.00
62.900,3150,0.00
63.000,3150,0.00
63.100,3150,0.00
63.200,3150,0.00
63.300,3150,0.00
63.400,3150,0.00
63.500,3150,0.00
63.600,3150,0.00
63.700,3150,0.00
63.800,3150,0.00
63.900,3150,0.00
64.000,3150,0.00
64.100,3150,0.00
64.200,3150,0.00
64.300,3150,2.40
64.400,3150,0.00
64.500,3150,0.00
64.600,3150,0.00
64.700,3150,0.00
64.800,3150,0.00
64.900,3150,0.00
65.000,3150,0.00
65.100,3150,0.00
65.200,3150,0.00
