# saved 2026-06-13T21:24:08
# range_label=3mT
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
49.800,1812,5.27
49.900,1812,7.75
50.000,1811,5.06
50.100,1811,5.04
50.200,1811,4.83
50.300,1811,4.89
50.400,1811,5.04
50.500,1810,4.65
50.600,1810,5.05
50.700,1810,4.61
50.800,1809,4.64
50.900,1809,5.00
51.000,1810,5.04
51.100,1807,5.21
51.200,1808,4.67
51.300,1808,4.98
51.400,1807,6.54
51.500,1808,4.86
51.600,1807,5.25
51.700,1807,5.00
51.800,1807,5.08
51.900,1808,4.88
52.000,1807,4.21
52.100,1807,5.19
52.200,1806,5.41
52.300,1806,5.05
52.400,1805,5.23
52.500,1805,5.12
52.600,1804,5.55
52.700,1804,5.84
52.800,1804,5.30
52.900,1804,5.22
53.000,1803,5.56
53.100,1803,5.31
53.200,1802,9.71
53.300,1803,5.13
53.400,1802,5.14
53.500,1803,5.05
53.600,1802,5.62
53.700,1802,5.47
53.800,1802,5.48
53.900,1802,5.21
54.000,1802,6.40
54.100,1801,5.79
54.200,1801,5.70
54.300,1800,5.11
54.400,1800,5.17
54.500,1800,5.22
54.600,1800,5.67
54.700,1799,5.75
54.800,1799,6.12
54.900,1798,5.32
55.000,1799,5.55
55.100,1798,5.40
55.200,1798,5.01
55.300,1797,5.19
55.400,1798,5.60
55.500,1797,5.90
55.600,1797,5.64
55.700,1797,5.06
55.800,1796,5.84
55.900,1796,5.54
56.000,1796,4.94
56.100,1795,5.83
56.200,1796,5.70
56.300,1795,5.35
56.400,1795,5.31
56.500,1794,6.19
56.600,1795,5.76
56.700,1794,5.49
56.800,1794,5.53
56.900,1794,5.08
57.000,1793,5.44
57.100,1793,5.43
57.200,1793,5.98
57.300,1793,5.28
57.400,1792,8.79
57.500,1792,5.45
57.600,1791,7.36
57.700,1792,5.55
57.800,1792,6.25
57.900,1793,5.99
58.000,1792,5.50
58.100,1792,5.85
58.200,1791,5.45
58.300,1791,5.43
58.400,1791,5.35
58.500,1791,5.41
58.600,1790,5.63
58.700,1790,5.03
58.800,1791,5.53
58.900,1790,5.94
59.000,1789,5.31
59.100,1789,4.99
59.200,1790,5.09
59.300,1788,5.12
59.400,1789,5.79
59.500,1790,5.14
59.600,1789,5.07
59.700,1788,4.72
59.800,1790,5.30
59.900,1789,4.97
60.000,1788,10.83
60.100,1788,4.94
60.200,1789,5.57
60.300,1787,4.73
60.400,1787,8.13
60.500,1787,5.02
60.600,1787,4.82
60.700,1788,4.88
60.800,1787,5.63
60.900,1788,5.06
61.000,1786,5.14
61.100,1786,4.71
61.200,1786,11.26
61.300,1786,4.87
61.400,1786,4.30
61.500,1786,5.00
61.600,1787,6.39
61.700,1786,4.86
61.800,1786,4.27
61.900,1786,4.53
62.000,1786,5.56
62.100,1786,4.54
62.200,1786,5.02
62.300,1785,4.25
62.400,1785,5.14
62.500,1785,4.69
62.600,1785,4.65
62.700,1784,4.46
62.800,1784,6.51
62.900,1784,4.71
63.000,1784,6.25
63.100,1784,5.93
63.200,1784,4.78
63.300,1784,5.35
63.400,1782,4.87
63.500,1783,4.79
63.600,1784,4.47
63.700,1783,4.35
63.800,1784,4.60
63.900,1783,7.02
64.000,1783,4.59
64.100,1783,4.60
64.200,1783,6.38
64.300,1783,4.40
