# saved 2026-06-13T19:31:51
# range_label=div2_nocap
# --- characterization sweep ---
# step_mm=0.100  points=1001  avg_samples=200  settle_ms=100
Distance_mm,Reading_mV,SD_mV
57.600,1288,5.21
57.700,1287,4.92
57.800,1288,5.16
57.900,1287,7.82
58.000,1287,10.14
58.100,1288,6.15
58.200,1288,5.19
58.300,1289,5.35
58.400,1288,5.67
58.500,1288,5.62
58.600,1288,6.66
58.700,1288,5.01
58.800,1289,7.25
58.900,1288,5.26
59.000,1289,5.49
59.100,1288,6.76
59.200,1288,5.80
59.300,1288,16.33
59.400,1289,5.74
59.500,1288,5.95
59.600,1288,5.74
59.700,1288,5.71
59.800,1288,5.40
59.900,1288,6.45
60.000,1287,5.96
60.100,1287,5.34
60.200,1287,5.77
60.300,1288,5.58
60.400,1287,5.32
60.500,1286,13.69
60.600,1286,19.48
60.700,1288,5.67
60.800,1287,6.65
60.900,1288,5.11
61.000,1288,5.29
61.100,1287,8.09
61.200,1288,6.35
61.300,1286,14.86
61.400,1287,5.22
61.500,1287,6.27
61.600,1288,5.25
61.700,1288,5.27
61.800,1288,17.18
61.900,1288,6.07
62.000,1288,5.75
62.100,1288,8.13
62.200,1288,5.95
62.300,1287,5.41
62.400,1287,7.07
62.500,1288,8.90
62.600,1288,5.52
62.700,1288,7.45
62.800,1288,13.76
62.900,1288,5.31
63.000,1288,5.14
63.100,1287,5.49
63.200,1287,5.29
63.300,1288,5.33
63.400,1288,5.52
63.500,1286,16.37
63.600,1287,5.07
63.700,1288,6.23
63.800,1288,9.79
63.900,1287,4.83
64.000,1287,5.78
64.100,1288,5.61
64.200,1287,9.04
64.300,1288,5.81
64.400,1287,11.67
64.500,1288,6.29
64.600,1289,5.38
64.700,1287,5.09
64.800,1288,10.41
64.900,1288,5.37
65.000,1289,6.22
65.100,1287,5.10
65.200,1287,4.83
65.300,1288,5.41
65.400,1288,5.75
65.500,1286,14.82
65.600,1289,5.58
65.700,1287,9.52
65.800,1287,4.97
65.900,1288,6.89
66.000,1287,8.46
66.100,1287,9.78
66.200,1286,9.23
66.300,1286,19.25
66.400,1287,5.38
66.500,1287,5.70
66.600,1288,5.21
66.700,1287,5.58
66.800,1287,9.69
66.900,1288,5.93
67.000,1287,5.47
67.100,1288,4.79
67.200,1287,4.74
67.300,1288,5.71
67.400,1287,6.58
67.500,1288,8.67
67.600,1287,7.24
67.700,1288,5.09
67.800,1287,6.48
67.900,1287,5.91
68.000,1288,6.67
68.100,1286,8.02
68.200,1288,5.31
68.300,1287,6.57
68.400,1288,5.87
68.500,1286,17.89
68.600,1287,6.16
68.700,1287,7.72
68.800,1288,5.11
68.900,1287,10.76
69.000,1287,5.11
69.100,1287,5.31
69.200,1287,5.94
69.300,1287,6.69
69.400,1287,10.77
69.500,1288,7.90
69.600,1287,8.46
69.700,1287,5.91
69.800,1288,5.53
69.900,1287,5.85
70.000,1288,4.98
70.100,1287,4.96
70.200,1287,5.46
70.300,1287,5.32
70.400,1288,7.03
70.500,1287,5.03
70.600,1287,5.38
70.700,1288,5.67
70.800,1288,5.36
70.900,1288,5.35
71.000,1287,5.27
71.100,1287,4.80
71.200,1286,8.51
71.300,1286,9.62
71.400,1288,5.46
71.500,1288,4.94
71.600,1288,7.64
71.700,1288,5.64
71.800,1288,5.39
71.900,1288,4.74
72.000,1287,5.62
72.100,1287,6.56
72.200,1287,5.09
72.300,1287,4.94
72.400,1288,4.96
72.500,1288,4.96
72.600,1287,10.31
72.700,1288,5.63
72.800,1288,5.89
72.900,1287,6.93
73.000,1290,6.10
73.100,1286,16.52
73.200,1287,8.07
73.300,1288,6.71
73.400,1288,6.15
73.500,1288,6.41
73.600,1288,5.27
73.700,1288,6.60
73.800,1288,6.25
73.900,1287,14.51
74.000,1288,6.25
74.100,1288,12.79
74.200,1286,15.54
74.300,1286,14.10
74.400,1288,4.94
74.500,1288,5.64
74.600,1288,5.29
74.700,1287,5.72
74.800,1288,6.15
74.900,1288,5.82
75.000,1288,6.80
75.100,1288,5.16
75.200,1287,12.14
75.300,1288,5.12
75.400,1288,6.37
75.500,1287,16.39
75.600,1288,5.76
75.700,1288,7.69
75.800,1286,17.36
75.900,1288,5.16
76.000,1287,4.53
76.100,1288,5.19
76.200,1288,5.49
76.300,1288,5.31
76.400,1286,10.47
76.500,1288,5.79
76.600,1287,15.46
76.700,1288,6.02
76.800,1286,14.15
76.900,1288,5.27
77.000,1287,9.32
77.100,1288,4.86
77.200,1288,5.45
77.300,1287,5.12
77.400,1289,10.56
77.500,1287,4.74
77.600,1287,15.05
77.700,1288,6.73
77.800,1288,5.26
77.900,1288,10.30
78.000,1288,5.31
78.100,1288,12.15
78.200,1288,5.08
78.300,1286,16.47
78.400,1288,5.15
78.500,1288,5.67
78.600,1288,6.99
78.700,1288,9.62
78.800,1287,6.60
78.900,1288,5.71
79.000,1288,5.16
79.100,1287,5.19
79.200,1288,4.77
79.300,1288,6.21
79.400,1287,4.94
79.500,1288,5.34
79.600,1287,7.08
79.700,1287,5.74
79.800,1288,5.17
79.900,1288,6.22
80.000,1288,6.14
80.100,1288,5.52
80.200,1287,10.61
80.300,1288,4.95
80.400,1288,5.65
80.500,1287,13.14
80.600,1288,5.15
80.700,1287,9.74
80.800,1288,5.81
80.900,1288,6.07
81.000,1287,12.20
81.100,1288,5.61
81.200,1287,5.10
81.300,1286,15.95
81.400,1288,6.10
81.500,1288,5.03
81.600,1288,5.14
81.700,1287,5.16
81.800,1288,11.46
81.900,1288,5.10
82.000,1287,7.88
82.100,1287,5.53
82.200,1288,5.27
82.300,1287,6.34
82.400,1288,5.44
82.500,1287,6.66
82.600,1288,5.77
82.700,1286,12.75
82.800,1288,7.00
82.900,1288,5.60
83.000,1287,5.43
83.100,1288,5.14
83.200,1287,6.45
83.300,1287,5.40
83.400,1288,5.89
83.500,1288,5.64
83.600,1286,12.36
83.700,1286,18.96
83.800,1287,4.87
83.900,1286,5.95
84.000,1287,5.42
84.100,1288,6.09
84.200,1288,6.08
84.300,1287,6.38
84.400,1287,7.97
84.500,1287,5.12
84.600,1288,7.25
84.700,1287,10.16
84.800,1288,5.38
84.900,1287,6.56
85.000,1288,6.98
85.100,1287,4.58
85.200,1287,12.09
85.300,1287,5.73
85.400,1288,5.63
85.500,1288,4.96
85.600,1288,5.23
85.700,1287,5.45
85.800,1288,5.24
85.900,1287,5.48
86.000,1287,6.18
86.100,1287,5.90
86.200,1288,5.35
86.300,1286,10.68
86.400,1288,5.04
